complaint_id,product,issue,company,narrative,company_response,date_received,state
SYNTH-00522,Student loan,Unauthorized charges,Wells Fargo,Incorrect information appears on my credit report. Case number 522.,Closed with explanation,2024-04-09,PA
SYNTH-00738,Credit card,Incorrect information,Bank of America,Incorrect information appears on my credit report. Case number 738.,Closed with monetary relief,2024-11-16,PA
SYNTH-00741,Personal loan,Payment issue,Chase,Incorrect information appears on my credit report. Case number 741.,Closed with explanation,2024-10-09,PA
SYNTH-00661,Mortgage,Unauthorized charges,Citibank,Incorrect information appears on my credit report. Case number 661.,Closed with monetary relief,2024-02-03,FL
SYNTH-00412,Checking account,Incorrect information,Bank of America,I have been trying to resolve this issue for months. Case number 412.,Closed with monetary relief,2024-01-04,TX
SYNTH-00679,Student loan,Loan processing,Bank of America,Incorrect information appears on my credit report. Case number 679.,Closed with explanation,2024-08-12,PA
SYNTH-00627,Mortgage,Incorrect information,Bank of America,Incorrect information appears on my credit report. Case number 627.,Closed with explanation,2024-10-19,NY
SYNTH-00514,Personal loan,Managing account,Bank of America,Incorrect information appears on my credit report. Case number 514.,Closed with explanation,2024-02-10,PA
SYNTH-00860,Student loan,Payment issue,Capital One,I have been trying to resolve this issue for months. Case number 860.,Closed with explanation,2024-08-05,TX
SYNTH-00137,Mortgage,Managing account,Capital One,They charged me unauthorized fees repeatedly. Case number 137.,Closed with monetary relief,2024-11-23,NY
SYNTH-00812,Checking account,Managing account,Citibank,I have been trying to resolve this issue for months. Case number 812.,Closed with monetary relief,2024-09-03,FL
SYNTH-00077,Student loan,Payment issue,Capital One,Incorrect information appears on my credit report. Case number 77.,Closed with explanation,2024-10-13,NY
SYNTH-00637,Student loan,Managing account,Chase,They charged me unauthorized fees repeatedly. Case number 637.,Closed with monetary relief,2024-10-01,PA
SYNTH-00974,Personal loan,Incorrect information,Wells Fargo,I have been trying to resolve this issue for months. Case number 974.,Closed with monetary relief,2024-08-28,PA
SYNTH-00939,Student loan,Payment issue,Wells Fargo,I have been trying to resolve this issue for months. Case number 939.,Closed with explanation,2024-12-24,NY
SYNTH-00900,Student loan,Payment issue,Bank of America,Incorrect information appears on my credit report. Case number 900.,Closed with monetary relief,2024-06-22,FL
SYNTH-00281,Personal loan,Payment issue,Chase,Incorrect information appears on my credit report. Case number 281.,Closed with explanation,2024-12-02,PA
SYNTH-00884,Student loan,Loan processing,Chase,They charged me unauthorized fees repeatedly. Case number 884.,Closed with monetary relief,2024-05-26,CA
SYNTH-00762,Personal loan,Payment issue,Chase,I have been trying to resolve this issue for months. Case number 762.,Closed with monetary relief,2024-09-14,TX
SYNTH-00320,Mortgage,Payment issue,Capital One,I have been trying to resolve this issue for months. Case number 320.,Closed with explanation,2024-04-03,CA
SYNTH-00550,Personal loan,Managing account,Capital One,Incorrect information appears on my credit report. Case number 550.,Closed with explanation,2024-07-27,CA
SYNTH-00175,Student loan,Payment issue,Bank of America,They charged me unauthorized fees repeatedly. Case number 175.,Closed with monetary relief,2024-06-22,FL
SYNTH-00372,Mortgage,Payment issue,Wells Fargo,They charged me unauthorized fees repeatedly. Case number 372.,Closed with monetary relief,2024-12-03,NY
SYNTH-00528,Credit card,Incorrect information,Citibank,They charged me unauthorized fees repeatedly. Case number 528.,Closed with monetary relief,2024-07-13,NY
SYNTH-00211,Credit card,Loan processing,Bank of America,Incorrect information appears on my credit report. Case number 211.,Closed with monetary relief,2024-09-12,CA
SYNTH-00236,Mortgage,Unauthorized charges,Chase,They charged me unauthorized fees repeatedly. Case number 236.,Closed with explanation,2024-11-11,FL
SYNTH-00102,Credit card,Unauthorized charges,Citibank,They charged me unauthorized fees repeatedly. Case number 102.,Closed with monetary relief,2024-02-27,TX
SYNTH-00987,Mortgage,Loan processing,Capital One,They charged me unauthorized fees repeatedly. Case number 987.,Closed with explanation,2024-01-05,PA
SYNTH-00903,Checking account,Payment issue,Bank of America,Incorrect information appears on my credit report. Case number 903.,Closed with monetary relief,2024-08-03,NY
SYNTH-00948,Student loan,Loan processing,Wells Fargo,Incorrect information appears on my credit report. Case number 948.,Closed with explanation,2024-06-12,FL
SYNTH-00347,Mortgage,Incorrect information,Bank of America,They charged me unauthorized fees repeatedly. Case number 347.,Closed with monetary relief,2024-07-18,NY
SYNTH-00140,Mortgage,Incorrect information,Chase,I have been trying to resolve this issue for months. Case number 140.,Closed with monetary relief,2024-06-12,NY
SYNTH-00622,Student loan,Managing account,Capital One,Incorrect information appears on my credit report. Case number 622.,Closed with monetary relief,2024-12-19,TX
SYNTH-00500,Personal loan,Payment issue,Capital One,Incorrect information appears on my credit report. Case number 500.,Closed with monetary relief,2024-10-08,NY
SYNTH-00371,Personal loan,Unauthorized charges,Capital One,Incorrect information appears on my credit report. Case number 371.,Closed with explanation,2024-11-25,PA
SYNTH-00199,Mortgage,Unauthorized charges,Citibank,They charged me unauthorized fees repeatedly. Case number 199.,Closed with monetary relief,2024-11-19,PA
SYNTH-00688,Credit card,Incorrect information,Chase,I have been trying to resolve this issue for months. Case number 688.,Closed with monetary relief,2024-07-07,TX
SYNTH-00585,Personal loan,Unauthorized charges,Wells Fargo,I have been trying to resolve this issue for months. Case number 585.,Closed with monetary relief,2024-11-12,TX
SYNTH-00902,Checking account,Unauthorized charges,Wells Fargo,Incorrect information appears on my credit report. Case number 902.,Closed with explanation,2024-07-22,TX
SYNTH-00060,Mortgage,Payment issue,Bank of America,Incorrect information appears on my credit report. Case number 60.,Closed with explanation,2024-06-14,CA
SYNTH-00329,Credit card,Managing account,Bank of America,They charged me unauthorized fees repeatedly. Case number 329.,Closed with monetary relief,2024-02-18,TX
SYNTH-00097,Credit card,Incorrect information,Wells Fargo,Incorrect information appears on my credit report. Case number 97.,Closed with monetary relief,2024-08-18,TX
SYNTH-00313,Mortgage,Payment issue,Chase,I have been trying to resolve this issue for months. Case number 313.,Closed with explanation,2024-10-03,CA
SYNTH-00975,Checking account,Incorrect information,Capital One,They charged me unauthorized fees repeatedly. Case number 975.,Closed with explanation,2024-01-14,FL
SYNTH-00300,Checking account,Unauthorized charges,Citibank,Incorrect information appears on my credit report. Case number 300.,Closed with monetary relief,2024-12-06,CA
SYNTH-00278,Credit card,Payment issue,Capital One,Incorrect information appears on my credit report. Case number 278.,Closed with monetary relief,2024-10-11,PA
SYNTH-00925,Mortgage,Incorrect information,Bank of America,Incorrect information appears on my credit report. Case number 925.,Closed with explanation,2024-03-26,CA
SYNTH-00602,Credit card,Loan processing,Capital One,They charged me unauthorized fees repeatedly. Case number 602.,Closed with explanation,2024-02-22,FL
SYNTH-00440,Credit card,Loan processing,Bank of America,I have been trying to resolve this issue for months. Case number 440.,Closed with explanation,2024-04-02,NY
SYNTH-00838,Credit card,Managing account,Capital One,I have been trying to resolve this issue for months. Case number 838.,Closed with explanation,2024-02-10,PA
SYNTH-00571,Mortgage,Payment issue,Citibank,I have been trying to resolve this issue for months. Case number 571.,Closed with explanation,2024-02-26,PA
SYNTH-00880,Mortgage,Managing account,Bank of America,I have been trying to resolve this issue for months. Case number 880.,Closed with explanation,2024-08-13,NY
SYNTH-00262,Student loan,Loan processing,Chase,Incorrect information appears on my credit report. Case number 262.,Closed with monetary relief,2024-08-08,NY
SYNTH-00579,Mortgage,Loan processing,Bank of America,They charged me unauthorized fees repeatedly. Case number 579.,Closed with monetary relief,2024-11-19,PA
SYNTH-00024,Personal loan,Loan processing,Citibank,I have been trying to resolve this issue for months. Case number 24.,Closed with explanation,2024-12-10,NY
SYNTH-00031,Mortgage,Payment issue,Chase,I have been trying to resolve this issue for months. Case number 31.,Closed with explanation,2024-04-07,PA
